Date,Open,High,Low,Close,Adj Close,Volume
2015-04-22,83780.398438,83780.398438,83780.398438,83780.398438,83780.398438,0
2015-04-23,null,null,null,null,null,null
2015-04-24,85551.296875,85551.296875,85551.296875,85551.296875,85551.296875,0
2015-04-27,86401.898438,86401.898438,86401.898438,86401.898438,86401.898438,0
2015-04-28,86209.500000,86209.500000,86209.500000,86209.500000,86209.500000,0
2015-04-29,85978.398438,85978.398438,85978.398438,85978.398438,85978.398438,0
2015-04-30,83947.000000,83947.000000,83947.000000,83947.000000,83947.000000,0
2015-05-01,null,null,null,null,null,null
2015-05-04,84018.898438,84018.898438,84018.898438,84018.898438,84018.898438,0
2015-05-05,83380.703125,83380.703125,83380.703125,83380.703125,83380.703125,0
2015-05-06,82441.398438,82441.398438,82441.398438,82441.398438,82441.398438,0
2015-05-07,82570.203125,82570.203125,82570.203125,82570.203125,82570.203125,0
2015-05-08,84059.898438,84059.898438,84059.898438,84059.898438,84059.898438,0
2015-05-11,84752.796875,84752.796875,84752.796875,84752.796875,84752.796875,0
2015-05-12,85363.500000,85363.500000,85363.500000,85363.500000,85363.500000,0
2015-05-13,86417.500000,86417.500000,86417.500000,86417.500000,86417.500000,0
2015-05-14,87243.703125,87243.703125,87243.703125,87243.703125,87243.703125,0
2015-05-15,87604.898438,87604.898438,87604.898438,87604.898438,87604.898438,0
2015-05-18,88651.898438,88651.898438,88651.898438,88651.898438,88651.898438,0
2015-05-19,null,null,null,null,null,null
2015-05-20,87791.101563,87791.101563,87791.101563,87791.101563,87791.101563,0
2015-05-21,86565.000000,86565.000000,86565.000000,86565.000000,86565.000000,0
2015-05-22,85803.898438,85803.898438,85803.898438,85803.898438,85803.898438,0
2015-05-25,84567.000000,84567.000000,84567.000000,84567.000000,84567.000000,0
2015-05-26,83649.398438,83649.398438,83649.398438,83649.398438,83649.398438,0
2015-05-27,84292.000000,84292.000000,84292.000000,84292.000000,84292.000000,0
2015-05-28,83569.601563,83569.601563,83569.601563,83569.601563,83569.601563,0
2015-05-29,82981.101563,82981.101563,82981.101563,82981.101563,82981.101563,0
2015-06-01,80429.101563,80429.101563,80429.101563,80429.101563,80429.101563,0
2015-06-02,81420.203125,81420.203125,81420.203125,81420.203125,81420.203125,0
2015-06-03,83393.601563,83393.601563,83393.601563,83393.601563,83393.601563,0
2015-06-04,82499.000000,82499.000000,82499.000000,82499.000000,82499.000000,0
2015-06-05,81943.398438,81943.398438,81943.398438,81943.398438,81943.398438,0
2015-06-08,77805.398438,77805.398438,77805.398438,77805.398438,77805.398438,0
2015-06-09,78146.203125,78146.203125,78146.203125,78146.203125,78146.203125,0
2015-06-10,79747.898438,79747.898438,79747.898438,79747.898438,79747.898438,0
2015-06-11,80845.203125,80845.203125,80845.203125,80845.203125,80845.203125,0
2015-06-12,80937.000000,80937.000000,80937.000000,80937.000000,80937.000000,0
2015-06-15,78951.398438,78951.398438,78951.398438,78951.398438,78951.398438,0
2015-06-16,80183.796875,80183.796875,80183.796875,80183.796875,80183.796875,0
2015-06-17,80713.296875,80713.296875,80713.296875,80713.296875,80713.296875,0
2015-06-18,81932.500000,81932.500000,81932.500000,81932.500000,81932.500000,0
2015-06-19,82454.398438,82454.398438,82454.398438,82454.398438,82454.398438,0
2015-06-22,83426.203125,83426.203125,83426.203125,83426.203125,83426.203125,0
2015-06-23,83068.500000,83068.500000,83068.500000,83068.500000,83068.500000,0
2015-06-24,84140.601563,84140.601563,84140.601563,84140.601563,84140.601563,0
2015-06-25,83277.101563,83277.101563,83277.101563,83277.101563,83277.101563,0
2015-06-26,83546.101563,83546.101563,83546.101563,83546.101563,83546.101563,0
2015-06-29,81756.203125,81756.203125,81756.203125,81756.203125,81756.203125,0
2015-06-30,82249.500000,82249.500000,82249.500000,82249.500000,82249.500000,0
2015-07-01,81681.703125,81681.703125,81681.703125,81681.703125,81681.703125,0
2015-07-02,81880.000000,81880.000000,81880.000000,81880.000000,81880.000000,0
2015-07-03,81217.000000,81217.000000,81217.000000,81217.000000,81217.000000,0
2015-07-06,82365.898438,82365.898438,82365.898438,82365.898438,82365.898438,0
2015-07-07,81572.296875,81572.296875,81572.296875,81572.296875,81572.296875,0
2015-07-08,80386.601563,80386.601563,80386.601563,80386.601563,80386.601563,0
2015-07-09,82286.296875,82286.296875,82286.296875,82286.296875,82286.296875,0
2015-07-10,82791.898438,82791.898438,82791.898438,82791.898438,82791.898438,0
2015-07-13,83388.296875,83388.296875,83388.296875,83388.296875,83388.296875,0
2015-07-14,83041.101563,83041.101563,83041.101563,83041.101563,83041.101563,0
2015-07-15,82727.898438,82727.898438,82727.898438,82727.898438,82727.898438,0
2015-07-16,82789.796875,82789.796875,82789.796875,82789.796875,82789.796875,0
2015-07-17,null,null,null,null,null,null
2015-07-20,81320.000000,81320.000000,81320.000000,81320.000000,81320.000000,0
2015-07-21,81583.601563,81583.601563,81583.601563,81583.601563,81583.601563,0
2015-07-22,81222.398438,81222.398438,81222.398438,81222.398438,81222.398438,0
2015-07-23,78336.601563,78336.601563,78336.601563,78336.601563,78336.601563,0
2015-07-24,78712.101563,78712.101563,78712.101563,78712.101563,78712.101563,0
2015-07-27,77352.000000,77352.000000,77352.000000,77352.000000,77352.000000,0
2015-07-28,78024.000000,78024.000000,78024.000000,78024.000000,78024.000000,0
2015-07-29,78079.796875,78079.796875,78079.796875,78079.796875,78079.796875,0
2015-07-30,78271.500000,78271.500000,78271.500000,78271.500000,78271.500000,0
2015-07-31,79909.703125,79909.703125,79909.703125,79909.703125,79909.703125,0
2015-08-03,78164.101563,78164.101563,78164.101563,78164.101563,78164.101563,0
2015-08-04,78234.898438,78234.898438,78234.898438,78234.898438,78234.898438,0
2015-08-05,78134.296875,78134.296875,78134.296875,78134.296875,78134.296875,0
2015-08-06,78803.101563,78803.101563,78803.101563,78803.101563,78803.101563,0
2015-08-07,78427.101563,78427.101563,78427.101563,78427.101563,78427.101563,0
2015-08-10,77495.296875,77495.296875,77495.296875,77495.296875,77495.296875,0
2015-08-11,79720.000000,79720.000000,79720.000000,79720.000000,79720.000000,0
